"Syntaxon","EVCcode","Name","VerbalDiagnosis"
"FB05","ROS-05","Convolvuletalia boissieri Rivas-Mart. et al. ex Díez et Asensi 1994","Betic (Southern Iberian) endemic thermo- to oromediterranean tomillar on dolomitic substrates"
"FB05A","ROS-05A","Andryalion agardhii Rivas-Mart. ex Rivas Goday et Mayor 1966","Betic (Southern Iberian) supra-oromediterranean pulvinate tomillar on dolomitic lithosols"
"FB05B","ROS-05B","Lavandulion lanatae (Martínez-Parras et al. 1984) Rivas-Mart. et al. 2002","Betic (Southern Iberian) thermo- to supramediterranean tomillar on dolomitic lithosols"
"FB06","ROS-06","Cisto-Micromerietalia julianae Oberd. 1954","Thermo-mesomediterranean phrygana of the continental Hellas and the Adriatic and Ionian seaboards"
"FB06A","ROS-06A","Cisto cretici-Ericion manipuliflorae Horvatić 1958","Thermomediterranean calcicolous garrigue of the Dalmatian and Istrian Adriatic seaboards"
"FB06B","ROS-06B","Cisto eriocephali-Ericion multiflorae Biondi 2000","Thermo-mesomediterranean calcicolous garrigue of the central and southern regions of the Adriatic and Ionian seaboards of the Apennine Peninsula"
"FB06C","ROS-06C","Micromerion Oberd. 1954","Meso-supramediterranean calcicolous phrygana of Northern Hellas"
"FB06D","ROS-06D","Dorycnio-Coridothymion capitati (Oberd. 1954) S. Brullo et al. 1997","Thermomediterranean calcicolous phrygana of Northern Hellas"
"FB07","ROS-07","Hyperico empetrifolii-Genistetalia acanthocladae Mucina in Mucina et al. 2016","Thermo-mesomediterranean phrygana of the southern regions of the Aegean, Crete, Cyprus, the Southern Anatolian seaboards and Cyrenaica"
"FB07A","ROS-07A","Hyperico empetrifolii-Micromerion graecae Barbero et Quézel 1989","Thermo- to supramediterranean calcicolous phrygana of the central and southern regions of Hellas, the Aegean region and Crete"
"FB07B","ROS-07B","Origano syriaci-Hypericion thymifolii Mucina et Theurillat in Mucina et al. 2016","Thermomediterranean calcicolous phrygana of Southern Anatolia and the Levante"
"FB07C","ROS-07C","Sarcopoterio spinosi-Genistion fasselatae M. Costa et al. 1984","Thermo-mesomediterranean phrygana on sandy and loamy soils of Cyprus"
"FC","LAV","Cisto-Lavanduletea stoechadis Br.-Bl. in Br.-Bl. et al. 1940","Mediterranean scrub (jaral, matorral, garrigue, phrygana) on acidic siliceous and ultramafic substrates"
"FC01","LAV-01","Lavanduletalia stoechadis Br.-Bl. in Br.-Bl. et al. 1940","Western Mediterranean garrigue and other scrub on hard acidic siliceous and ultramafic bedrocks"
"FC01A","LAV-01A","Cistion laurifolii Rivas Goday in Rivas Goday et al. 1956","Meso-supramediterranean acidophilous jarales and cantuesales of the north-central regions of the Iberian Peninsula"
"FC01B","LAV-01B","Staehelino-Ulicion baetici Rivas Goday et Rivas-Mart. 1969","Betic (Southern Iberian) thermo- to supramediterranean ultramafic garrigue"
"FC01C","LAV-01C","Ulici argentei-Cistion ladaniferi Br.-Bl. et al. 1964","Southern Iberian and Moroccan thermo-mesomediterranean xeric silicicolous garrigue"
"FC01D","LAV-01D","Quercion fruticosae Rothmaler 1954","Southwestern Iberian and North African coastal matorral on oligotrophic palaeo-podzolic soils"
"FC01E","LAV-01E","Cistion ladaniferi Br.-Bl. ex A. Bolòs et O. Bolòs in A. Bolòs 1950","Thermomediterranean acidophilous coastal garrigue of the northwestern Tyrrhenian and Ligurian seaboards"
"FC01F","LAV-01F","Calicotomo villosae-Genistion tyrrhenae Biondi 2000","Thermomediterranean acidophilous coastal garrigue of the southwestern Tyrrhenian seaboards"
"FC01G","LAV-01G","Teucrion mari (Gamisans et Muracciole 1984) Biondi et Mossa 1992","Cyrno-Sardean thermo-mesomediterranean acidophilous garrigue"
"FC01H","LAV-01H","Armerio sardoae-Genistion salzmannii Arrigoni 1986","Sardinian supramediterranean silicicolous garrigue"
"FC02","LAV-02","Stauracantho genistoidis-Halimietalia commutati Rivas-Mart. et al. 1990","Lusitano-Andalusian and Northern Moroccan thermo-mesomediterranean sandy scrub on acidic palaeodunes"
"FC02A","LAV-02A","Coremation albi Rothmaler 1943","Lusitano-Andalusian and Northern Moroccan thermo-mesomediterranean sandy scrub on acidic palaeodunes"
"FC03","LAV-03","Lavandulo stoechadis-Hypericetalia olympici Mucina in Mucina et al. 2016","Eastern Mediterranean garrigue and phrygana on acidic siliceous and ultramafic substrates"
"FC03A","LAV-03A","Hyperico olympici-Cistion cretici (Oberd. 1954) R. Jahn et Bergmeier in Mucina et al. 2009","Thermo-mesomediterranean silicicolous phrygana of Northern Hellas"
"FC03B","LAV-03B","Odontarrheno euboeae-Lavandulion stoechadis Mucina in Mucina et al. 2016","Thermo-mesomediterranean ultramafic phrygana of the Sterea Hellas"
"FC03C","LAV-03C","Helichryso barrelieri-Phagnalion graeci (Barbero et Quézel 1989) R. Jahn in Mucina et al. 2009","Thermo-mesomediterranean silicicolous phrygana of Southern Hellas, the central and southern Aegean archipelago and adjacent Anatolia"
"FD","NER","Nerio-Tamaricetea Br.-Bl. et O. de Bolòs 1958","Circummediterranean and Macaronesian riparian scrub"
"FD01","NER-01","Tamaricetalia africanae Br.-Bl. et O. de Bolòs 1958","Circummediterranean and Macaronesian riparian scrub"
"FD01A","NER-01A","Tamaricion africanae Br.-Bl. et O. de Bolòs 1958","Infra- to supramediterranean tamarisk riparian scrub in temporarily flooded freshwater habitats of the Western Mediterranean"
"FD01B","NER-01B","Tamaricion boveano-canariensis Izco et al. 1984","Infra- to supramediterranean tamarisk riparian scrub in temporarily flooded brackish habitats of the Western Mediterranean and Macaronesia"
"FD01C","NER-01C","Rubo ulmifolii-Nerion oleandri O. de Bolòs 1958","Thermo- to supramediterranean oleander riparian scrub of the Western Mediterranean"
"FD01D","NER-01D","Securinegion buxifoliae Rivas Goday ex López Sáez et Velasco-Negueruela 1995","Luso-Estremadurean (Iberian Peninsula) thermo-mesomediterranean riparian thorny tamujal"
"FD01E","NER-01E","Tamaricion dalmaticae Jasprica in Jasprica, Kovačić & Ruščić 2016","Thermo-mesomediterranean tamarisk scrub of the Balkan Adriatic seaboards"
"FD01F","NER-01F","Rubo sancti-Nerion oleandri Brullo et al. 2004","Thermomediterranean oleander riparian scrub of the Eastern Mediterranean"
"FE","CYT","Cytisetea scopario-striati Rivas-Mart. 1974","Mediterranean and (sub)atlantic temperate broomy scrub (retamal, piornal, escobonal) seral to forests on acidic substrates"
"FE01","CYT-01","Cytisetalia scopario-striati Rivas-Mart. 1974","Western and Central Mediterranean thermo- to supramediterranean and submediterranean broomy cytisoid scrub"
"FE01A","CYT-01A","Ulici europaei-Cytision striati Rivas-Mart. et al. 1991","Cantabro-Atlantic and Lusitanian submediterranean and meso-supramediterranean subhumid to hyperhumid broomy heath"
"FE01B","CYT-01B","Genistion floridae Rivas-Mart. 1974","Western Iberian upper meso-supramediterranean and submediterranean subhumid-humid genistoid retamal"
"FE01C","CYT-01C","Cytision multiflori Rivas-Mart. 1974","Western Iberian supramediterranean subhumid-hyperhumid silicicolous broomy genistoid retamal"
"FE01D","CYT-01D","Retamion monospermae Rivas-Mart. et Cantó in Rivas-Mart et al. 2002","Lusitano-Andalusian and Ibero-Tingitanian seral broomy scrub on deep littoral soils and palaeodune regosols"
"FE01E","CYT-01E","Retamion sphaerocarpae Rivas-Mart. 1981","Ibero-Lusitanian thermo- to supramediterranean semiarid continental semiarid retamal"
"FE01F","CYT-01F","Adenocarpion decorticantis (Rivas-Mart. et F. Valle ex F. Valle 1985) Rivas-Mart. et al. 1999","Upper meso- to oromediterranean silicicolous retamoid scrub of the Sierra Nevada (Southern Iberian Peninsula)"
"FE01G","CYT-01G","Violo messanensis-Adenocarpion complicati Mucina in Mucina et al. 2016","Siculo-Calabrian meso-supramediterranean broom heath"
"FE02","CYT-02","Cytiso villosi-Telinetalia monspessulanae Rivas-Mart. et al. 2002","Aljibic, Tyrrhenian and Catalonian thermo-mesomediterranean subhumid-humid silicicolous genistoid retamal"
"FE02A","CYT-02A","Telinion monspessulano-linifoliae Rivas-Mart. et al. 2002","Aljibic, Tyrrhenian and Catalonian thermo-mesomediterranean subhumid-humid silicicolous genistoid retamal"
"FE02B","CYT-02B","Genisto spartioidis-Phlomidion almeriensis Rivas Goday et Rivas-Mart. 1969","Almerian (Southern Iberian) infra- to mesomediterranean semiarid-arid retamoid scrub on calcareous and ultramafic substrates"
"FE02C","CYT-02C","Genisto scorpii-Retamion sphaerocarpae Rivas-Mart. et M. Costa in Rivas-Mart. et al. 2011","Ibero-Levantine thermo-mesomediterranean (rarely also supramediterranean) semiarid-subhumid retamal on calcareous substrates"
"FE02D","CYT-02D","Genistion specioso-equisetiformis Rivas-Mart. et F. Valle in Rivas-Mart. et al. 2011","Betic (Southern Iberian) thermo-mesomediterranean arid-subhumid genistoid retamal on calcareous and ultramafic substrates"
"FE03","CYT-03","Spartio juncei-Cytisetalia scoparii Mucina in Mucina et al. 2016","Temperate (sub)atlantic broom heath of Western Europe and the Southern European peninsulas"
"FE03A","CYT-03A","Sarothamnion scoparii Oberd. 1957","Acidophilous broom and gorse mantle on forest edges and in forest clearings of the (sub)atlantic regions of Western Europe"
"FE03B","CYT-03B","Cytision oromediterraneo-scoparii Rivas-Mart. et al. 2002","Auverno-Pyreneean suboceanic temperate humid-hyperhumid silicicolous broomy heath and forest mantle"
"FE03C","CYT-03C","Erico scopariae-Cytision scoparii Mucina in Mucina et al. 2016","Apennine broomy heath vegetation"
"FF","LYG","Lygeo sparti-Stipetea tenacissimae Rivas-Mart. 1978 nom. conserv. propos.","Circum-mediterranean pseudosteppes on calcareous rocky substrates and relict edaphic steppes on deep clayey soils"
"FF01","LYG-01","Cymbopogono-Brachypodietalia ramosi Horvatić 1963","Circum-mediterranean thermo- to supramediterranean pseudosteppes on sandy-loamy soils over calcareous bedrocks"
"FF01A","LYG-01A","Phlomido lychnitis-Brachypodion retusi Mateo ex Theurillat et Mucina in Mucina et al. 2016","Western Mediterranean thermo- to supramediterranean semiarid pseudosteppes on calcareous substrates"
"FF01B","LYG-01B","Triseto velutini-Brachypodion boissieri Rivas-Mart. et al. 2002","Southern Iberian thermo- to supramediterranean perennial pseudosteppes on dolomitic and ultramafic soils"
"FF01C","LYG-01C","Festucion scariosae Martínez-Parras et al. 1984","Betic (Southern Iberian) upper meso-supramediterranean semiarid pseudosteppes on deep calcareous soils"
"FF01D","LYG-01D","Stipion parviflorae De la Torre et al. 1996","Ibero-Levantine thermo- to supramediterranean subnitrophilous pseudosteppes on shallow calcareous soils"
"FF01E","LYG-01E","Leontodonto tuberosi-Bellion sylvestris Biondi et al. 2001","Thermo-mesomediterranean secondary pseudosteppes on deep calcareous soils of the Central and Eastern Mediterranean"
"FF01F","LYG-01F","Reichardio maritimae-Dactylidion hispanicae Biondi et al. 2001","Thermomediterranean subhalophilous perennial grasslands in wind-swept habitats on calcareous soils of the Tyrrhenian, Ionian and Aegean coasts"
"FF01G","LYG-01G","Cymbopogono-Brachypodion ramosi Horvatić 1963","Thermo-mesomediterranean pseudosteppes on calcareous sandy soils of the Eastern Mediterranean"
"FF01H","LYG-01H","Hyparrhenion hirtae Br.-Bl. et al. 1956","Thermo-mesomediterranean pseudosteppes on calcareous sandy soils of the Western Mediterranean and southern regions of the Central Mediterranean"
"FF02","LYG-02","Lygeo-Stipetalia tenacissimae Br.-Bl. et O. de Bolòs 1958","Relict Mediterranean edaphic steppes on deep clayey soils"
"FF02A","LYG-02A","Agropyro pectinati-Lygeion sparti Br.-Bl. et O. de Bolòs 1958 corr. Rivas-Mart. et al. 1999","Relict Central Iberian edaphic steppes on deep clayey soils"
"FF02B","LYG-02B","Stipion tenacissimae Rivas-Mart. 1984","Relict Southern Iberian thermomediterranean edaphic steppes on deep loamy-clayey soils"
"FF02C","LYG-02C","Moricandio-Lygeion sparti S. Brullo et al. 1990","Relict Southern Italian and Ionian thermo-mesomediterranean edaphic steppes on deep clayey soils"
"FF02D","LYG-02D","Scorzonero creticae-Lygeion sparti S. Brullo et al. 2002","Relict Cretan thermomediterranean edaphic steppes on deep clayey soils"
"FG","SAC","Stipo giganteae-Agrostietea castellanae Rivas-Mart. et al. 1999","Mediterranean thermo- to supramediterranean and humid submediterranean perennial acidophilous oligo-mesotrophic grasslands"
"FG01","SAC-01","Agrostietalia castellanae Rivas Goday ex Rivas-Mart. et al. 1980","Iberian thermo- to supramediterranean perennial acidophilous oligo-mesotrophic pastures"
"FG01A","SAC-01A","Festuco amplae-Agrostion castellanae Theurillat in Di Pietro et al. 2015","Ibero-Atlantic thermo- to supramediterranean acidophilous perennial grasslands on sandy-loamy soils"
"FG01B","SAC-01B","Festucion merinoi Rivas-Mart. et Sánchez-Mata in Rivas-Mart. et al. 1986 corr. Rivas-Mart. et Sánchez-Mata in Rivas-Mart. et al. 2002","Western Ibero-Cantabrian supramediterranean subhumid-humid acidophilous pastures on humic brown soils"
"FG01C","SAC-01C","Agrostio castellanae-Stipion giganteae Rivas Goday ex Rivas-Mart. et Fernández-González 1991","Lusitano-Carpetanian thermo-to supramediterranean xeric-subhumid acidophilous pastures on sandy-loamy soils"
"FG02","SAC-02","Parafestucetalia albidae Rivas-Mart. et al. 2001","Silicicolous perennial grasslands on shallow andosols on rocky outcrops of the supratemperate hyperhumid regions of Madeira"
"FG02A","SAC-02A","Deschampsio maderensis-Parafestucion albidae Capelo et al. 2000","Silicicolous perennial grasslands on shallow andosols on rocky outcrops of the supratemperate hyperhumid regions of Madeira"
"FG03","SAC-03","Armerietalia rumelicae V. Ranđelović et N. Ranđelović in V. Ranđelović et Zlatković ex Mucina et Čarni in Di Pietro et al. 2015","South-Central Balkan supratemperate submediterranean silicicolous perennial grasslands"
"FG03A","SAC-03A","Armerio rumelicae-Potentillion Mitsevski 1978","South-Central Balkan supratemperate submediterranean silicicolous perennial grasslands"
"FH","BUL","Poetea bulbosae Rivas Goday et Rivas-Mart. in Rivas-Mart. 1978","Mediterranean and Magrebinian seasonal perennial and ephemeroid pastures in the thermo- to oromediterranean belts"
"FH01","BUL-01","Poetalia bulbosae Rivas Goday et Rivas-Mart. in Rivas Goday et Ladero 1970","Mediterranean and Maghrebinian seasonal perennial and ephemeroid pastures in the thermo- to oromediterranean belts"
"FH01A","BUL-01A","Trifolio subterranei-Periballion minutae Rivas Goday 1964","Central and Western Iberian heavily grazed seasonal perennial pastures on acidic substrates in the thermo- to oromediterranean belts"
"FH01B","BUL-01B","Plantaginion serrariae Galán de Mera et al. 2000","Southern Iberian and Magrebinian seasonal perennial pastures on basic clayey soils in the thermo- and mesomediterranean belts"
"FH01C","BUL-01C","Poo bulbosae-Astragalion sesamei Rivas Goday et Ladero 1970","Central and Eastern Iberian heavily grazed seasonal perennial pastures on calcareous substrates"
"FH01D","BUL-01D","Ornithogalo corsici-Trifolion subterranei (Farris et al. 2013) Farris et Mucina in Mucina et al. 2016","Sardinian meso-supramediterranean heavily grazed perennial sheep pastures"
"FH01E","BUL-01E","Plantaginion cupanii S. Brullo et Grillo 1978","Siculo-Calabrian supramediterranean mesic seasonal perennial pastures on calcareous substrates"
