taxon,evc.taxon
Trifolium patens,Trifolium patens
Trifolium pratense s.lat.,
Trifolium pratense ssp. nivale,Trifolium pratense subsp. nivale
Trifolium pratense ssp. pratense,Trifolium pratense subsp. pratense
Trifolium pratense ssp. sativum,
Trifolium repens ssp. repens,Trifolium repens subsp. repens
Trifolium resupinatum s.str.,Trifolium resupinatum
Trifolium rubens,Trifolium rubens
Trifolium spadiceum,Trifolium spadiceum
Trifolium suaveolens,Trifolium resupinatum
Triglochin palustre,Triglochin palustris
Trigonella caerulea,Trigonella caerulea
Trigonella procumbens,
Trinia glauca,Trinia glauca subsp. glauca
Tripleurospermum inodorum,Tripleurospermum inodorum
Trisetum alpestre,Trisetum alpestre
Trisetum argenteum,Trisetum argenteum
Trisetum distichophyllum s.str.,Trisetum distichophyllum
Trisetum flavescens ssp. flavescens,Trisetum flavescens subsp. flavescens
Trisetum spicatum ssp. ovatipanicuatum,Trisetum spicatum
Triticosecale rimpaui,
Triticum aestivum s.lat.,
Triticum dicoccon,
Triticum monococcum,Triticum monococcum
Triticum spelta,
Triticum turgidum,
Trollius europaeus,Trollius europaeus
Tropaeolum majus,Tropaeolum majus
Tsuga canadensis,
Tsuga heterophylla,
Tulipa -Hybriden,
Tulipa sylvestris,Tulipa sylvestris
Turgenia latifolia,Turgenia latifolia
Turritis glabra,
Tussilago farfara,Tussilago farfara
Typha angustifolia,Typha angustifolia
Typha latifolia,Typha latifolia
Typha laxmannii,Typha laxmanii
Typha minima,Typha minima
Typha shuttleworthii,Typha shuttleworthii
Ulmus glabra,Ulmus glabra
Ulmus laevis,Ulmus laevis
Ulmus minor ssp. minor,Ulmus minor
Urtica dioica s.lat.,
Urtica dioica ssp. dioica,Urtica dioica subsp. dioica
Urtica dioica ssp. subinermis,Urtica dioica subsp. subinermis
Urtica pilulifera,Urtica pilulifera
Urtica urens,Urtica urens
Utricularia australis,Utricularia australis
Utricularia bremii,Utricularia bremii
Utricularia intermedia s.str.,Utricularia intermedia
Utricularia minor s.str.,Utricularia minor
Utricularia vulgaris s.str.,Utricularia vulgaris
Vaccaria hispanica,Vaccaria hispanica
Vaccinium corymbosum,
Vaccinium gaultherioides,Vaccinium gaultherioides
Vaccinium microcarpum,Vaccinium microcarpum
Vaccinium myrtillus,Vaccinium myrtillus
Vaccinium oxycoccos s.str.,Vaccinium oxycoccos
Vaccinium uliginosum s.str.,Vaccinium uliginosum subsp. uliginosum
Vaccinium vitis-idaea,Vaccinium vitis-idaea
Valeriana celtica ssp. norica,Valeriana celtica subsp. norica
Valeriana dioica,Valeriana dioica
Valeriana elongata,Valeriana elongata
Valeriana montana,Valeriana montana
Valeriana officinalis agg.,
Valeriana officinalis s.lat.,Valeriana officinalis
Valeriana officinalis ssp. officinalis,Valeriana officinalis
Valeriana officinalis ssp. sambucifolia,Valeriana officinalis
Valeriana officinalis ssp. tenuifolia,Valeriana officinalis
Valeriana phu,
Valeriana saxatilis,Valeriana saxatilis subsp. saxatilis
Valeriana supina,Valeriana supina
Valeriana tripteris,Valeriana tripteris
Valerianella carinata,Valerianella carinata
Valerianella dentata,Valerianella dentata
Valerianella locusta,Valerianella locusta
Valerianella rimosa,Valerianella rimosa
Ventenata dubia,Ventenata dubia
Veratrum album s.lat.,Veratrum album
Veratrum album ssp. album,Veratrum album
Veratrum album ssp. lobelianum,Veratrum album
Veratrum nigrum,Veratrum nigrum
Verbascum alpinum,Verbascum alpinum
Verbascum blattaria,Verbascum blattaria
Verbascum chaixii ssp. austriacum,Verbascum chaixii subsp. austriacum
Verbascum densiflorum,Verbascum densiflorum
Verbascum lychnitis,Verbascum lychnitis
Verbascum nigrum,Verbascum nigrum subsp. nigrum
Verbascum phlomoides,Verbascum phlomoides
Verbascum phoeniceum,Verbascum phoeniceum
Verbascum speciosum,Verbascum speciosum
Verbascum thapsus s.str.,Verbascum thapsus subsp. thapsus
Verbena bonariensis,Verbena bonariensis
Verbena bracteata,
Verbena officinalis,Verbena officinalis
Veronica agrestis,Veronica agrestis
Veronica alpina,Veronica alpina
Veronica anagallis-aquatica s.str.,Veronica anagallis-aquatica
Veronica anagalloides,Veronica anagalloides
Veronica aphylla,Veronica aphylla
Veronica arvensis,Veronica arvensis
Veronica austriaca,Veronica austriaca
Veronica beccabunga,Veronica beccabunga
Veronica bellidioides,Veronica bellidioides subsp. bellidioides
Veronica catenata,Veronica catenata
Veronica chamaedrys agg.,
Veronica chamaedrys s.lat.,
Veronica chamaedrys ssp. chamaedrys,Veronica chamaedrys subsp. chamaedrys
Veronica chamaedrys ssp. micans,Veronica chamaedrys subsp. micans
Veronica dillenii,Veronica dillenii
Veronica filiformis,Veronica filiformis
Veronica fruticans,Veronica fruticans subsp. fruticans
Veronica fruticulosa,Veronica fruticulosa
Veronica gentianoides,Veronica gentianoides
Veronica hederifolia (s.str.),Veronica hederifolia
Veronica hederifolia agg.,
Veronica maritima,Veronica maritima
Veronica montana,Veronica montana
Veronica officinalis,Veronica officinalis
Veronica opaca,Veronica opaca
Veronica orchidea,Veronica orchidea
Veronica peregrina,Veronica peregrina
Veronica persica,Veronica persica
Veronica polita,Veronica polita
Veronica praecox,Veronica praecox
Veronica prostrata s.str.,Veronica prostrata
Veronica scardica,Veronica scardica
Veronica scheereri,
Veronica scutellata,Veronica scutellata
Veronica serpyllifolia s.lat.,
Veronica serpyllifolia ssp. humifusa,Veronica serpyllifolia subsp. humifusa
Veronica serpyllifolia ssp. serpyllifolia,Veronica serpyllifolia subsp. serpyllifolia
Veronica spicata s.str.,Veronica spicata subsp. spicata
Veronica spuria,
Veronica sublobata,Veronica sublobata
Veronica teucrium,Veronica teucrium
Veronica triloba,Veronica triloba
Veronica triphyllos,Veronica triphyllos
Veronica urticifolia,Veronica urticifolia
Veronica verna s.str.,Veronica verna subsp. verna
Veronica vindobonensis,Veronica vindobonensis
Viburnum buddleifolium,
Viburnum lantana,Viburnum lantana
Viburnum opulus,Viburnum opulus
Viburnum rhytidophyllum,Viburnum rhytidophyllum
Vicia angustifolia s.lat.,
Vicia angustifolia ssp. angustifolia,Vicia angustifolia subsp. angustifolia
Vicia angustifolia ssp. segetalis,Vicia angustifolia subsp. segetalis
Vicia articulata,Vicia articulata
Vicia cassubica,Vicia cassubica
Vicia cracca agg.,
Vicia cracca s.str.,Vicia cracca subsp. cracca
Vicia cracca ssp. incana,Vicia cracca subsp. incana
Vicia dumetorum,Vicia dumetorum
Vicia ervilia,Vicia ervilia
Vicia faba,
Vicia glabrescens,Vicia villosa subsp. varia
Vicia grandiflora,Vicia grandiflora
Vicia hirsuta,
Vicia lathyroides,Vicia lathyroides
Vicia lutea,Vicia lutea
Vicia oroboides,Vicia oroboides
Vicia orobus,Vicia orobus
Vicia pannonica ssp. pannonica,Vicia pannonica subsp. pannonica
Vicia pannonica ssp. striata,Vicia pannonica subsp. striata
Vicia pisiformis,Vicia pisiformis
Vicia sativa,Vicia sativa
Vicia sepium,Vicia sepium subsp. sepium
Vicia sylvatica,Vicia sylvatica
Vicia tenuifolia,Vicia tenuifolia subsp. tenuifolia
Vicia tetrasperma s.str.,Vicia tetrasperma
Vicia villosa s.str.,Vicia villosa subsp. villosa
Vinca major,Vinca major
Vinca minor,Vinca minor
Vincetoxicum hirundinaria,Vincetoxicum hirundinaria subsp. hirundinaria
Viola alba s.lat.,
Viola alba ssp. alba,Viola alba subsp. alba
Viola alba ssp. scotophylla,Viola alba subsp. alba
Viola alba ssp. violacea,Viola alba subsp. alba
Viola alpina,Viola alpina
Viola arvensis s.lat.,
Viola arvensis ssp. arvensis,Viola arvensis subsp. arvensis
Viola arvensis ssp. megalantha,Viola arvensis subsp. megalantha
Viola biflora,Viola biflora
Viola canina s.lat.,Viola canina
Viola canina ssp. canina,Viola canina
Viola canina ssp. ruppii,Viola canina
Viola canina ssp. schultzii,Viola canina
Viola collina,Viola collina
Viola elatior,Viola elatior
Viola hirta,Viola hirta
Viola mirabilis,Viola mirabilis
Viola odorata,Viola odorata
Viola palustris,Viola palustris subsp. palustris
Viola pinnata,Viola pinnata
Viola pumila,Viola pumila
Viola pyrenaica,Viola pyrenaica
Viola reichenbachiana,Viola reichenbachiana
Viola riviniana,Viola riviniana
Viola rupestris,Viola rupestris subsp. rupestris
Viola stagnina,Viola persicifolia
Viola suavis,Viola suavis
Viola tricolor s.lat.,
Viola tricolor ssp. saxatilis,Viola tricolor subsp. alpestris
Viola tricolor ssp. tricolor,Viola tricolor subsp. tricolor
Viola uliginosa,
Viscaria vulgaris,Viscaria vulgaris
Viscum album s.str.,Viscum album subsp. album
Viscum laxum ssp. abietis,Viscum laxum
Viscum laxum ssp. laxum,Viscum laxum
Vitis riparia,
Vitis vinifera ssp. vinifera,Vitis vinifera subsp. sylvestris
Vulpia bromoides,Vulpia bromoides
Vulpia myuros,Vulpia myuros
Vulpia unilateralis,Vulpia unilateralis
Waldsteinia ternata,Waldsteinia ternata
Warnstorfia fluitans,Warnstorfia fluitans
Willemetia stipitata ssp. stipitata,Willemetia stipitata
Wolffia arrhiza,Wolffia arrhiza
Woodsia alpina,Woodsia alpina
Woodsia ilvensis,Woodsia ilvensis
Xanthium italicum,Xanthium orientale subsp. californicum
Xanthium riparium,Xanthium albinum subsp. riparium
Xanthium saccharatum s.lat.,Xanthium orientale subsp. italicum
Xanthium spinosum,Xanthium spinosum
Xanthium strumarium s.str.,Xanthium strumarium subsp. strumarium
Xanthoparmelia conspersa,Xanthoparmelia conspersa
Xeranthemum annuum,Xeranthemum annuum
Yucca filamentosa,
Zannichellia palustris s.lat.,Zannichellia palustris
Zannichellia palustris ssp. palustris,Zannichellia palustris
Zannichellia palustris ssp. pedicellata,Zannichellia palustris
Zea mays,
Zinnia elegans,
Zinnia violacea,
